"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2,L1,L2,L3,L4,L5,Power1,D3";"LED_0805";8;"LED";;;
2;"BUTTON_L1,BUTTON_L2,BUTTON_L3,BUTTON_L4,BUTTON_L5,BUTTON_L6,BUTTON_L7,BUTTON_L8,PROGRAM1,RESET1";"SW_SPST_B3S-1000";10;"SW_PUSH";;;
3;"C1,C10";"C_0805_HandSoldering";2;"10uF";;;
4;"C2,C3,C7,C11";"C_0805_HandSoldering";4;"1uF";;;
5;"C4,C5";"C_0805_HandSoldering";2;"22pF";;;
6;"C6";"C_0805_HandSoldering";1;"0.1 uF";;;
7;"C8,C9";"C_0805_HandSoldering";2;"4.7 uF";;;
8;"P2";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
9;"R2,R9,R17";"R_0805_HandSoldering";3;"100 Ohm";;;
10;"R8,R11,R12,R13,R16,R18,R19,R14,R15";"R_0805_HandSoldering";9;"10k Ohm";;;
11;"R1,R3,R4,R5,R6,R7,R10,R20,R22";"R_0805_HandSoldering";9;"470 Ohm";;;
12;"R21";"R_0805_HandSoldering";1;"4k Ohm";;;
13;"TH1";"R_0805_HandSoldering";1;"100 Ohm THERMISTOR";;;
14;"U1";"ESP-12E";1;"ESP-12E";;;
15;"U4";"MC78L05ACH-SOT89-3_Housing_Handsoldering";1;"MC78L05ACH";;;
16;"U3";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"74HC595";;;
17;"U5";"TSSOP-16_4.4x5mm_Pitch0.65mm";1;"74LS165";;;
18;"U6";"SSOP-20W";1;"CH340H/T";;;
19;"U7";"SOT-23-5";1;"MCP73831";;;
